차시;유형;번호;내용;정답;해설
1차시;퀴즈;1;Upbit API의 공개 API는 인증 없이 사용할 수 있다.;O;Upbit의 시세 조회 API는 인증이 필요 없는 공개 API로  현재가  캔들 데이터 등을 조회할 수 있습니다.
1차시;퀴즈;2;Upbit API로 계좌 조회나 주문 실행을 하려면 인증이 필요하다.;O;Upbit의 Exchange API는 계좌 조회  주문 실행 등 거래 기능을 제공하며 JWT 토큰 기반 인증이 필요합니다.
1차시;학습목표;1;Upbit API를 활용하여 실시간 비트코인 가격 데이터를 수집할 수 있다.;;
1차시;학습목표;2;tkinter를 사용하여 사용자 친화적인 GUI 인터페이스를 구현할 수 있다.;;
1차시;학습목표;3;파일 기반 로깅 시스템을 구축하여 알림 내역을 영구 저장할 수 있다.;;
1차시;학습정리;1;Upbit API의 공개 엔드포인트를 사용하여 실시간 가격 정보를 조회하고, 설정된 조건에 따라 알림을 생성할 수 있다.; ;
1차시;학습정리;2;tkinter를 활용한 GUI 구현으로 사용자가 모니터링을 시작/중지하고 실시간 상태를 확인할 수 있는 인터페이스를 제공할 수 있다.;;
1차시;학습정리;3;파일 기반 로깅을 통해 알림 메시지를 텍스트 파일에 저장하고, 프로그램 재시작 후에도 이전 알림 내역을 확인할 수 있다.; ;
2차시;퀴즈;2;CSV 파일에 데이터를 저장하면 프로그램 종료 후에도 데이터를 보존할 수 있다.;O;CSV 파일은 텍스트 형식으로 데이터를 저장하므로 프로그램이 종료되어도 데이터가 유지됩니다.
2차시;학습목표;1;CoinGecko API를 활용하여 다양한 통화 기준의 암호화폐 가격을 조회할 수 있다.;;
2차시;학습목표;2;matplotlib을 사용하여 시간-가격 선 그래프를 생성하고 스타일링할 수 있다.;;
2차시;학습목표;3;자동 데이터 수집 및 실시간 차트 갱신 시스템을 구현할 수 있다.;;
2차시;학습정리;1;CoinGecko API의 종합적인 오류 처리(재시도; 타임아웃; Rate limit 관리)를 구현하여 안정적인 데이터 수집이 가능하다.  
2차시;학습정리;2;matplotlib을 활용한 차트 생성 시 제목; 레이블; 그리드 등 그래프 요소를 추가하여 가독성을 높일 수 있다.  
2차시;학습정리;3;백그라운드 스레드에서 주기적으로 데이터를 수집하고, matplotlib animation으로 실시간 차트를 갱신하는 시스템을 구축할 수 있다.; ;
3차시;퀴즈;1;변동성 돌파 전략에서 돌파선은 전일 고가와 저가의 차이를 이용하여 계산한다.;O;돌파선은 전일 고가 + (전일 고가 - 전일 저가) × K값으로 계산되며  변동폭을 기반으로 합니다.
3차시;퀴즈;2;이동평균 크로스오버 전략에서 단기 이동평균선이 장기 이동평균선을 아래로 넘으면 매수 신호가 발생한다.;X;단기선이 장기선을 아래로 넘으면 데드 크로스로 매도 신호입니다. 위로 넘을 때가 매수 신호(골든 크로스)입니다.
3차시;학습목표;1;다중 거래소 API를 통합하여 실시간 암호화폐 데이터를 수집하고 기술적 지표를 계산할 수 있다.;;
3차시;학습목표;2;변동성 돌파 전략과 이동평균 크로스오버 전략의 핵심 로직을 이해하고 구현할 수 있다.;;
3차시;학습목표;3;백테스팅을 통해 전략의 성과를 분석하고 리스크 관리 방법을 적용할 수 있다.;;
3차시;학습정리;1;여러 거래소(Upbit; Bithumb; Coinone)의 API를 통합하여 데이터를 정규화하고 통합하는 시스템을 구축할 수 있다.  
3차시;학습정리;2;변동성 돌파 전략은 전일 변동폭을 기반으로 돌파선을 계산하고, 돌파 시 진입하여 손절/익절로 청산하는 추세 추종 전략이다.; ;
3차시;학습정리;3;백테스팅을 통해 전략의 수익률; 승률; 최대 낙폭  샤프 비율 등을 분석하고  포지션 크기 제한과 손절/익절 로직으로 리스크를 관리할 수 있다.  
4차시;퀴즈;1;GitHub Copilot은 시장에서 가장 널리 사용되는 AI 코딩 도구이다.;O;GitHub Copilot은 Microsoft의 지원과 GitHub 생태계 통합으로 시장 리더십을 보유하고 있습니다.
4차시;퀴즈;2;AI 코딩 도구 시장은 2024년 기준 약 6조원 규모이며 지속적으로 성장하고 있다.;O;AI 코딩 도구 시장은 2024년 $6.15B 규모이며  2034년까지 연평균 26.8% 성장이 예상됩니다.
4차시;학습목표;1;AI 코딩 도구 시장의 주요 플레이어와 각 도구의 특징을 비교 분석할 수 있다.;;
4차시;학습목표;2;각 AI 코딩 도구의 강점과 약점을 파악하여 프로젝트에 적합한 도구를 선택할 수 있다.;;
4차시;학습목표;3;AI 코딩 도구의 시장 동향과 미래 전망을 이해할 수 있다.;;
4차시;학습정리;1;GitHub Copilot; Cursor; Claude Code  CodeWhisperer 등 주요 AI 코딩 도구들은 각각 다른 강점을 가지고 있으며  프로젝트 특성에 맞게 선택해야 한다.  
4차시;학습정리;2;AI 코딩 도구 시장은 빠르게 성장하고 있으며; 개발 생산성 향상과 코드 품질 개선에 큰 기여를 하고 있다.; 
4차시;학습정리;3;AI 코딩 도구를 효과적으로 활용하려면 각 도구의 특징과 제한사항을 이해하고, 프로젝트 요구사항에 맞는 도구를 선택하는 것이 중요하다.; ;
5차시;퀴즈;1;변동성 필터를 사용하면 가짜 돌파 신호를 줄일 수 있다.;O;전일 변동폭이 최근 평균 대비 큰 날만 거래하거나 ATR 상위 분위수를 사용하면 가짜 돌파를 필터링할 수 있습니다.
5차시;퀴즈;2;트레일링 스탑을 사용하면 수익이 나는 포지션의 손절선을 동적으로 조정할 수 있다.;O;트레일링 스탑은 가격이 유리한 방향으로 움직일 때 손절선을 따라가며 수익을 보호합니다.
5차시;학습목표;1;변동성 돌파 전략의 핵심 개념과 돌파선 계산 방법을 이해한다.;;
5차시;학습목표;2;가짜 돌파를 줄이기 위한 필터링 기법(변동성; 거래량; 시간대 필터)을 적용할 수 있다.  
5차시;학습목표;3;리스크 관리 원칙(포지션 사이징; 손절/익절; 트레일링 스탑)을 전략에 통합할 수 있다.  
5차시;학습정리;1;변동성 돌파 전략은 전일 변동폭(R)을 기반으로 돌파선을 계산하고, 돌파 시 추세 초입에 진입하는 추세 추종형 전략이다.; ;
5차시;학습정리;2;변동성 필터; 시간대 필터; 확인 캔들 조건 등을 적용하여 가짜 돌파 신호를 줄이고 승률을 향상시킬 수 있다.  
