차시,문제,정답,해설
0차시,CoinGecko API는 무료로 사용할 수 있으며 API 키 없이도 사용 가능하다.,O,CoinGecko는 무료로 제공되는 공개 API입니다. 기본적인 가격 조회는 API 키 없이도 사용할 수 있습니다.
0차시,requests 라이브러리를 사용하면 인터넷에서 데이터를 가져올 수 있다.,O,requests는 Python에서 웹사이트나 API에서 데이터를 가져올 때 사용하는 도구입니다. HTTP 요청을 쉽게 할 수 있습니다.
1차시,Upbit API를 사용하면 실시간으로 비트코인 가격을 조회할 수 있다.,O,Upbit API를 사용하면 인터넷을 통해 실시간으로 비트코인 가격을 가져올 수 있습니다. 가격 조회는 별도 인증 없이 가능합니다.
1차시,업비트는 한국의 주요 암호화폐 거래소 중 하나이다.,O,업비트는 한국에서 거래량이 많은 주요 암호화폐 거래소입니다. 빗썸, 코인원과 함께 한국의 대표적인 거래소입니다.
2차시,matplotlib 라이브러리를 사용하면 가격 데이터를 차트로 시각화할 수 있다.,O,matplotlib은 Python에서 그래프를 그려주는 도구입니다. 가격 데이터를 입력하면 선 그래프나 차트로 보기 쉽게 만들어줍니다.
2차시,차트는 가격의 변화를 시간 순서대로 보여주는 그래프이다.,O,차트는 시간에 따라 가격이 어떻게 변했는지 보여주는 그래프입니다. 가격이 올라갔는지 내려갔는지 한눈에 볼 수 있습니다.
3차시,변동성 돌파 전략에서 돌파선은 전일 종가만을 이용하여 계산한다.,X,돌파선은 전일 고가에 전일 변동폭(고가-저가)에 K값을 곱한 값을 더해서 계산합니다. 공식은 '전일 고가 + (전일 고가 - 전일 저가) × K값'입니다.
3차시,변동성 돌파 전략은 가격이 크게 움직일 때 매수하는 전략이다.,O,변동성 돌파 전략은 가격이 전날의 변동폭을 고려한 돌파선을 넘었을 때 매수하는 추세 추종 전략입니다. 가격이 크게 움직여서 돌파선을 상향 돌파하면 매수 신호가 됩니다.
4차시,AI 코딩 도구는 완벽한 코드를 자동으로 생성하므로 사람이 수정할 필요가 없다.,X,AI가 만든 코드는 완벽하지 않습니다. 항상 사람이 확인하고 테스트해서 필요하면 고쳐야 합니다.
4차시,Cursor는 AI를 활용한 코딩 도구로 코드 작성과 수정을 도와준다.,O,Cursor는 AI를 사용해서 코드를 자동으로 작성하거나 수정해주는 도구입니다. 개발자가 더 빠르게 작업할 수 있게 도와줍니다.
5차시,변동성 돌파 전략에서 K값이 0보다 작아도 돌파선을 계산할 수 있다.,X,K값은 보통 0.3에서 0.7 사이의 양수(0보다 큰 수)를 사용합니다. 0보다 작은 값은 사용할 수 없습니다.
5차시,변동성 돌파 전략에서 K값이 클수록 더 공격적인 매매를 한다.,X,K값이 크면 돌파선이 더 높아져서 가격이 더 크게 움직여야만 매수하게 됩니다. 매수 기회가 적어지므로 더 보수적인 전략입니다. 반대로 K값이 작으면 돌파선이 낮아져서 매수 기회가 많아져 더 공격적인 전략이 됩니다.
6차시,업비트 API에서 계좌 조회나 주문 실행은 JWT 토큰 인증이 필요하다.,O,내 계좌를 조회하거나 주문을 하려면 비밀번호 같은 역할을 하는 JWT 토큰이 필요합니다. 가격 조회만 할 때는 필요 없습니다.
6차시,업비트 API는 초당 10회까지만 요청할 수 있다는 제한이 있다.,O,업비트 API는 초당 10회, 분당 600회까지 요청할 수 있는 제한이 있습니다. 너무 빠르게 요청하면 서버에 부담을 주기 때문에 이런 제한을 둡니다. 이를 Rate Limit이라고 합니다.
7차시,백테스트 결과가 좋다고 해서 미래에도 반드시 같은 수익을 보장하는 것은 아니다.,O,백테스트는 과거 데이터로 테스트한 것이므로 미래에도 똑같이 잘 될 거라는 보장은 없습니다. 시장은 계속 변하기 때문입니다.
7차시,백테스트는 실제 돈을 사용하지 않고 과거 데이터로 전략을 테스트하는 방법이다.,O,백테스트는 실제로 거래하지 않고 과거의 가격 데이터를 이용해서 내 전략이 어떻게 작동했을지 시뮬레이션하는 방법입니다.
8차시,PRD 문서는 제품 요구사항을 정리한 문서로 개발 전 계획을 수립하는 데 사용된다.,O,PRD 문서는 프로그램을 만들기 전에 무엇을 만들지, 어떤 기능이 필요한지 정리한 문서입니다. 계획을 세우는 데 사용합니다.
