실습유형;문항번호;문제;정답;해설;채점기준;배점;문항출제목표
API 연동 및 데이터 수집 실습;1;업비트 API를 활용하여 비트코인 현재가를 조회하는 함수를 설계하시오. 함수는 API 호출 실패 시 재시도 로직을 포함해야 하며, 최대 3회까지 재시도하고 각 재시도 간격은 1초로 설정해야 한다. 또한 Rate Limit(초당 10회)을 준수하기 위한 방안을 제시하시오.;1) requests 라이브러리를 사용한 HTTP GET 요청 구현 2) try-except를 활용한 예외 처리 및 재시도 로직(time.sleep 활용) 3) Rate Limit 준수를 위한 요청 간격 제어(최소 0.1초 간격) 또는 요청 큐 관리;업비트 API의 공개 엔드포인트(/v1/ticker)를 사용하여 비트코인 현재가를 조회하고, 네트워크 오류나 타임아웃 발생 시 자동으로 재시도하는 안정적인 데이터 수집 시스템을 구현할 수 있는지 평가합니다. Rate Limit 준수는 실제 운영 환경에서 필수적인 요소입니다.;1) 함수 구조 및 API 호출 구현 (30점) 2) 재시도 로직 구현 (30점) 3) Rate Limit 준수 방안 제시 (20점) 4) 예외 처리 및 오류 메시지 (20점);100점;업비트 API를 활용한 실시간 데이터 수집 능력과 오류 처리 및 Rate Limit 관리 능력을 평가합니다.
API 연동 및 데이터 수집 실습;2;CoinGecko API를 사용하여 여러 암호화폐(BTC, ETH, XRP)의 가격을 한 번에 조회하고, 결과를 CSV 파일로 저장하는 시스템을 설계하시오. CSV 파일에는 타임스탬프, 코인명, 가격(KRW), 가격(USD) 컬럼이 포함되어야 하며, 파일 저장 시 기존 데이터에 추가(append) 방식으로 저장해야 한다.;1) CoinGecko API의 /simple/price 엔드포인트 사용 2) ids 파라미터로 여러 코인 지정, vs_currencies로 다중 통화 지정 3) csv 모듈 또는 pandas를 활용한 CSV 파일 작성 4) 파일 모드 'a'(append) 사용 또는 기존 파일 읽기 후 추가;다중 암호화폐 데이터를 효율적으로 수집하고 영구 저장하는 능력을 평가합니다. CSV 파일을 활용한 데이터 영구 저장은 프로그램 재시작 후에도 데이터를 보존하는 중요한 방법입니다.;1) API 호출 및 다중 코인/통화 조회 (30점) 2) CSV 파일 구조 설계 (20점) 3) Append 방식 파일 저장 구현 (30점) 4) 타임스탬프 및 데이터 포맷팅 (20점);100점;다중 데이터 수집 및 파일 기반 데이터 저장 능력을 평가합니다.
API 연동 및 데이터 수집 실습;3;업비트 API의 JWT 토큰 기반 인증을 사용하여 계좌 잔고를 조회하는 함수를 설계하시오. JWT 토큰 생성 시 필요한 필수 요소와 보안 고려사항을 함께 설명하시오.;1) JWT 토큰 생성: access_key, nonce(유니크 값), query_hash(쿼리 파라미터의 SHA512 해시), query_hash_alg(SHA512) 2) Authorization 헤더에 Bearer 토큰 포함 3) API 키는 환경 변수나 설정 파일로 관리(하드코딩 금지) 4) /v1/accounts 엔드포인트 호출;JWT 토큰 기반 인증의 핵심 개념과 보안을 고려한 API 키 관리 방법을 이해하고 있는지 평가합니다. 실제 거래 기능을 사용하기 위한 필수 지식입니다.;1) JWT 토큰 생성 로직 이해 (40점) 2) 필수 파라미터(nonce, query_hash 등) 설명 (30점) 3) 보안 고려사항(API 키 관리) (20점) 4) API 엔드포인트 및 헤더 설정 (10점);100점;업비트 Exchange API 인증 방식 이해 및 보안 의식 평가.
전략 구현 및 백테스팅 실습;4;변동성 돌파 전략의 돌파선을 계산하는 함수를 설계하시오. 전일 고가, 전일 저가, K값을 입력받아 돌파선을 계산하고, 현재가가 돌파선을 상향 돌파했는지 판단하는 로직을 포함하시오. 돌파선 계산 공식은 [전일 고가 + (전일 고가 - 전일 저가) × K값]이다.;1) 돌파선 계산: target_price = high + (high - low) * k 2) 현재가와 돌파선 비교: current_price > target_price 3) 함수는 돌파선 값과 매수 신호(True/False)를 반환 4) 입력값 검증(고가 > 저가, K값 범위 등);변동성 돌파 전략의 핵심 로직인 돌파선 계산과 매수 신호 판단 능력을 평가합니다. 이는 추세 추종 전략의 기본이 되는 중요한 개념입니다.;1) 돌파선 계산 공식 구현 (40점) 2) 현재가와 돌파선 비교 로직 (30점) 3) 매수 신호 판단 (20점) 4) 입력값 검증 및 예외 처리 (10점);100점;변동성 돌파 전략의 핵심 로직 이해 및 구현 능력 평가.
전략 구현 및 백테스팅 실습;5;백테스팅 시스템의 성과 지표를 계산하는 함수를 설계하시오. 거래 내역 리스트(날짜, 매수가, 매도가, 수량)를 입력받아 총 수익률, 승률, 최대 낙폭(MDD), 샤프 비율을 계산하시오. 각 지표의 계산 공식과 의미를 설명하시오.;1) 총 수익률: (최종 자산 - 초기 자산) / 초기 자산 × 100 2) 승률: 수익 거래 수 / 전체 거래 수 × 100 3) MDD: 최고점 대비 최대 하락률, 누적 수익률의 최고점과 최저점 차이 4) 샤프 비율: (평균 수익률 - 무위험 수익률) / 수익률 표준편차;백테스팅을 통해 전략의 성과를 정량적으로 평가하는 능력을 평가합니다. 수익률뿐만 아니라 리스크 지표를 함께 고려하는 것이 중요합니다.;1) 총 수익률 계산 (20점) 2) 승률 계산 (20점) 3) MDD 계산 (30점) 4) 샤프 비율 계산 및 각 지표 의미 설명 (30점);100점;백테스팅 성과 지표 계산 능력 및 리스크 관리 이해도 평가.
전략 구현 및 백테스팅 실습;6;변동성 돌파 전략에서 가짜 돌파를 줄이기 위한 필터링 기법 3가지를 제시하고, 각 기법의 적용 방법과 효과를 설명하시오.;1) 변동성 필터: 전일 변동폭이 최근 N일 평균 변동폭보다 큰 경우만 거래 2) 시간대 필터: 특정 시간대(예: 오전 9시~오후 6시)에만 거래 실행 3) 확인 캔들 조건: 돌파 후 다음 캔들에서도 돌파선 위에 유지되는지 확인;가짜 돌파 신호를 필터링하여 승률을 향상시키는 방법을 이해하고 있는지 평가합니다. 실제 거래에서 승률 향상은 매우 중요한 요소입니다.;1) 변동성 필터 설명 (30점) 2) 시간대 필터 설명 (30점) 3) 확인 캔들 조건 설명 (30점) 4) 각 기법의 효과 및 적용 방법 (10점);100점;전략 개선을 위한 필터링 기법 이해 및 적용 능력 평가.
시스템 통합 및 운영 실습;7;자동매매 시스템의 리스크 관리 모듈을 설계하시오. 일일 손실 한도, 포지션 크기 제한, 손절/익절 비율을 설정할 수 있어야 하며, 각 제한을 초과할 경우 자동으로 거래를 중단하는 로직을 포함하시오.;1) 일일 손실 한도: 누적 손실이 한도를 초과하면 거래 중단 2) 포지션 크기 제한: 최대 투자 가능 금액 제한(예: 총 자산의 20%) 3) 손절/익절 비율: 진입가 대비 손절(-2%), 익절(+5%) 설정 4) 제한 초과 시 거래 중단 플래그 설정 및 알림;자동매매 시스템의 안정성을 보장하는 리스크 관리 능력을 평가합니다. 실제 자금을 다루는 시스템에서 리스크 관리는 가장 중요한 요소입니다.;1) 일일 손실 한도 관리 (30점) 2) 포지션 크기 제한 (30점) 3) 손절/익절 비율 설정 (20점) 4) 제한 초과 시 거래 중단 로직 (20점);100점;리스크 관리 시스템 설계 능력 및 안전한 자동매매 운영 이해도 평가.
시스템 통합 및 운영 실습;8;텔레그램 봇을 활용한 자동매매 시스템 모니터링 인터페이스를 설계하시오. 사용자가 봇을 통해 현재 포지션, 수익률, 시스템 상태를 조회할 수 있어야 하며, 거래 시작/중지 명령을 실행할 수 있어야 한다. 모듈화된 구조로 설계하시오.;1) 핸들러 모듈: /start, /status, /profit, /start_trading, /stop_trading 명령 처리 2) 템플릿 모듈: 응답 메시지 포맷팅 3) 설정 관리자: 사용자별 권한 및 설정 관리 4) 자동매매 시스템과의 연동 인터페이스;텔레그램 봇을 통한 원격 모니터링 및 제어 시스템 설계 능력을 평가합니다. 실제 운영 환경에서 필수적인 기능입니다.;1) 텔레그램 봇 기본 구조 (20점) 2) 명령어 핸들러 설계 (30점) 3) 모듈화된 구조(핸들러, 템플릿, 설정 관리자) (30점) 4) 자동매매 시스템 연동 인터페이스 (20점);100점;텔레그램 봇을 활용한 모니터링 시스템 설계 및 모듈화 능력 평가.
시스템 통합 및 운영 실습;9;자동매매 시스템의 오류 처리 및 복구 메커니즘을 설계하시오. API 인증 오류, 네트워크 연결 오류, 데이터 오류가 발생했을 때 각각의 대응 방안과 자동 복구 절차를 제시하시오. 또한 오류 발생 시 로그 기록 및 알림 전송 기능을 포함하시오.;1) API 인증 오류: API 키 재확인, 토큰 재생성, 관리자 알림 2) 네트워크 연결 오류: 자동 재시도(지수 백오프), 대체 API 엔드포인트 사용 3) 데이터 오류: 데이터 검증 로직, 이전 정상 데이터 사용, 알림 전송 4) 로깅: 오류 유형, 발생 시간, 재시도 횟수 기록 5) 알림: 텔레그램 또는 이메일로 즉시 알림;실제 운영 환경에서 발생할 수 있는 다양한 오류 상황에 대한 대응 능력과 자동 복구 시스템 설계 능력을 평가합니다.;1) API 인증 오류 대응 방안 (25점) 2) 네트워크 연결 오류 대응 방안 (25점) 3) 데이터 오류 대응 방안 (20점) 4) 로깅 및 알림 시스템 (30점);100점;오류 처리 및 자동 복구 시스템 설계 능력 평가.

