차시;차시목표;주요 훈련내용;주요 학습활동
0차시;무료 암호화폐 API를 활용하여 비트코인 가격 데이터를 실시간으로 조회하고 시각화할 수 있다.;CoinGecko/CoinCap API를 통한 가격 데이터 조회, requests 라이브러리로 HTTP 요청 및 JSON 파싱, matplotlib으로 실시간 차트 구현;API 호출 함수 작성, 실시간 가격 모니터링 프로그램 개발, matplotlib animation을 활용한 차트 구현 실습
1차시;Upbit API를 활용한 실시간 데이터 수집과 GUI 기반 모니터링 시스템을 구축할 수 있다.;Upbit 공개 API를 통한 실시간 가격 조회 및 알림 생성, matplotlib GUI 인터페이스 구현, 파일 기반 로깅 시스템 구축;Upbit API 연동 프로그램 개발, GUI 인터페이스 구현(시작/중지 버튼), 알림 내역 파일 저장 기능 구현
2차시;다중 통화 기준 암호화폐 가격 조회 및 안정적인 데이터 수집 시스템을 구현할 수 있다.;CoinGecko API의 다중 통화 조회, 오류 처리(재시도/타임아웃/Rate limit), 차트 스타일링 및 백그라운드 스레드 기반 실시간 차트 갱신;다중 통화 가격 조회 함수 개발, 오류 처리 로직 구현, 스타일링된 차트 생성 및 실시간 갱신 시스템 구축
3차시;다중 거래소 API 통합 및 변동성 돌파/이동평균 크로스오버 전략을 구현하고 백테스팅을 수행할 수 있다.;여러 거래소(Upbit/Bithumb/Coinone) API 통합 및 데이터 정규화, 변동성 돌파 전략과 이동평균 크로스오버 전략 구현, 백테스팅을 통한 성과 분석 및 리스크 관리;다중 거래소 API 통합 모듈 개발, 전략 로직 구현, 백테스팅 시스템 구축 및 성과 지표 계산
4차시;AI 코딩 도구 시장을 이해하고 프로젝트에 적합한 도구를 선택할 수 있다.;GitHub Copilot/Cursor/Claude Code 등 주요 AI 코딩 도구 비교 분석, 각 도구의 강점과 약점 파악, 시장 동향 및 미래 전망 이해;AI 코딩 도구 비교 분석표 작성, Cursor AI 실습(Composer/채팅 기능 활용), 프로젝트 요구사항에 맞는 도구 선택 실습
5차시;변동성 돌파 전략의 필터링 기법과 리스크 관리 원칙을 적용하여 전략을 개선할 수 있다.;변동성 돌파 전략의 돌파선 계산, 가짜 돌파 필터링(변동성/시간대/확인 캔들), 포지션 사이징/손절익절/트레일링 스탑 등 리스크 관리 기법;돌파선 계산 함수 구현, 필터링 함수 개발(변동성/시간대/확인 캔들), 리스크 관리 모듈 구현 및 전략 개선 실습
6차시;업비트 API의 JWT 토큰 기반 인증을 구현하고 안정적인 API 연동을 구축할 수 있다.;업비트 API 구조 이해(Quotation/Exchange API), JWT 토큰 생성 및 인증 구현, Rate Limit 준수 및 오류 처리 로직 구현;JWT 토큰 생성 함수 개발, 계좌 조회/주문 관리 API 연동, Rate Limit 관리 및 재시도 로직 구현
7차시;백테스트 시스템을 구축하여 전략의 성과를 검증하고 평가할 수 있다.;백테스트 시스템 구성 요소(데이터 로딩/전략 실행/성과 분석/결과 시각화), 데이터 전처리 및 품질 검증, 성과 지표 계산 및 시각화;백테스트 시스템 아키텍처 설계, 데이터 로딩 및 전처리 모듈 개발, 성과 지표 계산 및 시각화 구현
8차시;자동매매 시스템의 전체 아키텍처를 설계하고 PRD를 작성할 수 있다.;자동매매 시스템 핵심 모듈(가격 모니터링/주문 실행/리스크 관리/알림/데이터 관리), PRD 작성 방법, 모듈화된 시스템 설계;시스템 아키텍처 다이어그램 작성, PRD 문서 작성(목표/KPI/기능 요구사항/기술 스택), 모듈화 설계 및 인터페이스 정의
9차시;APScheduler를 활용한 정확한 시간 기반 작업 스케줄링 시스템을 구축할 수 있다.;APScheduler의 Cron/Interval 트리거 활용, 우선순위 기반 작업 관리, 작업 간 의존성 관리 및 동적 스케줄 변경;APScheduler 기반 스케줄링 시스템 구축, 우선순위 큐 기반 작업 디스패처 구현, 의존성 관리 및 동적 스케줄 변경 기능 개발
10차시;텔레그램 봇을 활용한 자동매매 시스템의 원격 모니터링 및 제어 인터페이스를 구현할 수 있다.;텔레그램 Bot API 활용, 사용자 설정 관리 시스템 구축, 모듈화된 봇 아키텍처 설계(핸들러/템플릿/설정 관리자);텔레그램 봇 개발(명령어 핸들러 구현), 사용자 설정 관리 모듈 개발, 모듈화된 봇 구조 설계 및 자동매매 시스템 연동
11차시;자동매매 시스템의 주요 오류 유형을 분석하고 대응 전략을 수립할 수 있다.;5가지 주요 오류 유형 분석(API 인증/네트워크 연결/데이터/시스템 리소스/로직 오류), 오류 분류 및 우선순위 설정, 예방적 접근을 통한 복원력 강화;오류 유형별 분석표 작성, 오류 처리 모듈 개발(자동 재시도/로깅/모니터링), 오류 대응 전략 수립 및 구현
12차시;pandas/numpy를 활용하여 거래 데이터를 분석하고 성과 지표를 계산할 수 있다.;SQLite 데이터베이스에서 거래 데이터 로드 및 전처리, 수익률/리스크/거래 지표 계산, 통계 분석 및 시각화를 통한 리포트 자동 생성;데이터 분석 스크립트 작성, 성과 지표 계산 함수 개발(수익률/MDD/샤프 비율/VaR), matplotlib/seaborn을 활용한 리포트 생성
13차시;전략 파라미터 최적화 및 멀티 전략 조합을 통해 전략 성과를 향상시킬 수 있다.;그리드 서치/베이지안 최적화를 통한 파라미터 최적화, 멀티 전략 조합 및 가중치 최적화, 시장 상황별 적응형 전략 최적화;파라미터 최적화 스크립트 작성, 멀티 전략 조합 시스템 구현, 시장 상황 판단 지표 개발 및 적응형 전략 구현
14차시;다양한 사용자 유형별 요구사항을 분석하고 맞춤형 자동매매 시스템을 설계할 수 있다.;초보/중급/고급 투자자별 요구사항 분석, 모듈화된 아키텍처 설계(공통 모듈/사용자별 모듈), 설정 기반 커스터마이징 및 기술 수준별 UI/UX 구현;사용자 유형별 요구사항 분석표 작성, 모듈화된 아키텍처 설계, 설정 파일 기반 커스터마이징 시스템 구현
15차시;Docker를 활용하여 자동매매 시스템을 컨테이너화하고 클라우드 플랫폼에 배포할 수 있다.;클라우드 플랫폼 선택(AWS/GCP/Azure), Docker 컨테이너화, API 키 보안 관리(환경 변수/시크릿 관리 서비스), 모니터링/로그 관리/자동 백업 시스템 구축;Dockerfile 작성 및 컨테이너 빌드, 클라우드 플랫폼 배포 실습, 보안 설정 및 모니터링 시스템 구축
16차시;MCP를 활용하여 개발 워크플로우를 자동화하고 생산성을 향상시킬 수 있다.;MCP 개념 및 주요 장점 이해, 다양한 MCP 도구 활용(Figma/Notion/Browser), MCP를 활용한 개발 워크플로우 설계 및 구현;MCP 도구 실습(Figma MCP로 UI 디자인, Notion MCP로 문서 관리, Browser MCP로 웹 자동화), 개발 워크플로우 자동화 스크립트 작성
17차시;포트폴리오 전략과 적응형 전략 시스템을 통해 리스크를 분산하고 수익을 극대화할 수 있다.;여러 코인에 분산 투자 및 전략별 가중치 최적화, 자금 관리 방법 적용(켈리 공식/고정 비율/변동성 기반 포지션 사이징), 시장 상황 판단 지표를 활용한 적응형 전략 시스템;포트폴리오 전략 구현, 자금 관리 모듈 개발, 시장 상황 판단 지표 개발 및 적응형 전략 전환 시스템 구현
18차시;24시간 365일 완전 자동화된 자동매매 시스템을 구축하고 운영할 수 있다.;다중 거래소 연동을 통한 아비트라지 기회 포착, 머신러닝/딥러닝 기반 예측 모델 및 복합 전략, 모니터링/알림/자동 복구/리스크 관리 완전 자동화;다중 거래소 연동 시스템 구축, ML/DL 기반 예측 모델 개발, 완전 자동화 시스템 통합 및 운영 실습
