차시;문항유형;문항번호;문제;보기1;보기2;보기3;보기4;정답;해설
1차시;선다형;1;tkinter를 사용한 GUI 구현에서 알림 내역을 영구 저장하는 방법은?;데이터베이스 저장;파일 기반 로깅;메모리 저장;클라우드 저장;2;파일 기반 로깅을 통해 알림 메시지를 텍스트 파일에 저장하고, 프로그램 재시작 후에도 이전 알림 내역을 확인할 수 있습니다.
1차시;선다형;2;Upbit API의 Exchange API에서 계좌 조회나 주문 실행을 하기 위해 필요한 인증 방식은?;API 키만;JWT 토큰 기반 인증;OAuth 2.0;세션 기반 인증;2;Upbit의 Exchange API는 계좌 조회, 주문 실행 등 거래 기능을 제공하며 JWT 토큰 기반 인증이 필요합니다.
2차시;선다형;3;CoinGecko API에서 오류 처리를 위해 구현해야 하는 요소가 아닌 것은?;재시도 로직;타임아웃 설정;Rate limit 관리;실시간 거래 실행;4;CoinGecko API의 종합적인 오류 처리(재시도, 타임아웃, Rate limit 관리)를 구현하여 안정적인 데이터 수집이 가능합니다.
2차시;선다형;4;matplotlib을 활용한 차트 생성 시 가독성을 높이기 위해 추가하는 요소가 아닌 것은?;제목;레이블;그리드;실시간 거래 기능;4;matplotlib을 활용한 차트 생성 시 제목, 레이블, 그리드 등 그래프 요소를 추가하여 가독성을 높일 수 있습니다.
3차시;선다형;5;변동성 돌파 전략의 특징으로 옳은 것은?;역추세 전략;추세 추종형 전략;평균 회귀 전략;무작위 진입 전략;2;변동성 돌파 전략은 전일 변동폭을 기반으로 돌파선을 계산하고, 돌파 시 추세 초입에 진입하는 추세 추종형 전략입니다.
3차시;선다형;6;이동평균 크로스오버 전략에서 데드 크로스가 발생하는 상황은?;단기선이 장기선을 위로 넘을 때;단기선이 장기선을 아래로 넘을 때;단기선과 장기선이 교차하지 않을 때;단기선과 장기선이 평행할 때;2;단기선이 장기선을 아래로 넘으면 데드 크로스로 매도 신호입니다. 위로 넘을 때가 매수 신호(골든 크로스)입니다.
4차시;선다형;7;AI 코딩 도구를 선택할 때 고려해야 하는 가장 중요한 요소는?;도구의 인기도;프로젝트 특성과 요구사항;도구의 가격;도구의 개발사;2;각 AI 코딩 도구는 다른 강점을 가지고 있으며, 프로젝트 특성에 맞게 선택해야 합니다.
4차시;선다형;8;Cursor AI의 가장 큰 특징으로 옳은 것은?;단일 파일만 분석 가능;코드베이스 전체 컨텍스트를 이해하여 정확한 코드 생성;오프라인에서만 작동;코드 실행 기능 제공;2;Cursor AI는 프로젝트 전체 파일을 분석하여 컨텍스트를 이해하고, 관련된 코드를 참조하여 정확한 코드를 생성합니다.
4차시;선다형;9;Cursor AI의 Composer 기능으로 수행할 수 있는 작업이 아닌 것은?;여러 파일을 동시에 수정;새로운 기능 추가;복잡한 리팩토링 작업;실시간 거래 실행;4;Composer는 여러 파일을 동시에 수정하고, 새로운 기능을 추가하며, 복잡한 리팩토링 작업을 수행할 수 있습니다.
4차시;선다형;10;Cursor AI의 채팅 기능을 통해 수행할 수 있는 작업이 아닌 것은?;코드 수정 요청;버그 수정;코드 리뷰;실시간 거래 모니터링;4;Cursor AI의 채팅 인터페이스를 통해 자연어로 코드 수정 요청을 하면, AI가 코드를 분석하고 적절한 수정을 제안합니다.
5차시;선다형;11;변동성 돌파 전략에서 전일 변동폭을 나타내는 기호는?;K;R;M;P;2;변동성 돌파 전략은 전일 변동폭(R)을 기반으로 돌파선을 계산하고, 돌파 시 추세 초입에 진입하는 추세 추종형 전략입니다.
5차시;선다형;12;가짜 돌파 신호를 줄이기 위해 사용하는 필터링 기법이 아닌 것은?;변동성 필터;거래량 필터;시간대 필터;가격 상승 필터;4;변동성 필터, 시간대 필터, 확인 캔들 조건 등을 적용하여 가짜 돌파 신호를 줄이고 승률을 향상시킬 수 있습니다.
6차시;선다형;13;업비트 API를 Quotation API와 Exchange API로 구분할 때, 각각의 역할은?;시세 조회와 거래/계좌 관리;거래만 가능;계좌 조회만 가능;시세 조회만 가능;1;업비트 API는 Quotation API(공개)와 Exchange API(인증 필요)로 구분되며, 각각 시세 조회와 거래/계좌 관리를 담당합니다.
